"CustomerID","ProductID_1_sum","ProductID_2_sum","ProductID_3_sum","ProductID_4_sum","ProductID_5_sum","ProductID_6_sum","ProductID_7_sum","ProductID_8_sum","Pattern_0000010_sum","Pattern_0000100_sum","Pattern_0001000_sum","Pattern_0010000_sum","Pattern_0100010_sum","Pattern_1000010_sum","Pattern_1001010_sum","Pattern_1111110_sum","PaymentType_BT_sum","PaymentType_DD_sum","PaymentStatus_Paid_sum","PaymentStatus_Not.Paid_sum","StartDate_rec","RenewalDate_rec","PaymentDate_rec","NbrNewspapers_mean","NbrStart_mean","GrossFormulaPrice_mean","NetFormulaPrice_mean","NetNewspaperPrice_mean","ProductDiscount_mean","FormulaDiscount_mean","TotalDiscount_mean","TotalPrice_mean","TotalCredit_mean","Gender","District","ZIP","StreeID","Age","churn"
"108898",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,164,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"M","5","3940","47223",75,"0"
"109293",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,10,0,10,0,62,91,77,76,16,72.2,72.2,0.9500942,0,0,0,72.2,0,"F","5","3941","47264",50,"0"
"109348",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,167,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"F","5","3941","47279",80,"0"
"109862",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4,4,0,62,77,75,303.5,15,243,243,0.80060175,0,0,0,243,0,NA,"5","3950","47480",61,"1"
"109965",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,0,152,192,138,304,15,247.666666666667,247.666666666667,0.814693,0,0,0,247.666666666667,0,"M","5","3950","47529",64,"0"
"1100031",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,33,NA,35,304,25,259,130,0.427632,0,129,129,130,0,"F","1","2300","18238",18,"1"
"1100239",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,45,NA,47,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,NA,"7","9220","71206",-213,"1"
"1100313",0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,2,0,2,0,20,26,13,32,2,34.84,28.6,0.55,0,6.24,6.24,28.6,0,"M","5","3570","39588",50,"0"
"110062",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,0,5,0,152,192,160,152,16,134.8,134.8,0.8868566,0,0,0,134.8,0,"F","5","3950","47521",78,"0"
"1100938",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,35,NA,25,152,25,144,144,0.947368,0,0,0,144,0,"M","1","2990","30901",61,"1"
"1100966",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,32,NA,18,50,25,50.657895,29,0.58,0,21.657895,21.657895,29,0,"M","5","3511","37903",78,"1"
